Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,108118503.0,Westmont Hilltop SD,Cambria,21822674.37,13100555.679999998,515817.73999999993,13616373.42,0.624,7635610.21,0.3499,554670.74,0.0254,16020.0,0.0007
1.0,109122703.0,Cameron County SD,Cameron,12257477.44,3455090.1099999994,440481.00000000006,3895571.11,0.3178,8361573.0,0.6822,,0.0,333.33,0.0
1.0,121135003.0,Jim Thorpe Area SD,Carbon,44486505.08,30763024.17,1028272.2600000001,31791296.43,0.7146,9329997.0,0.2097,616255.23,0.0139,2748956.42,0.0618
1.0,121135503.0,Lehighton Area SD,Carbon,40578311.73,20467530.12,959000.2100000002,21426530.33,0.528,16273254.39,0.401,448962.8,0.0111,2429564.21,0.0599
1.0,121136503.0,Palmerton Area SD,Carbon,30856451.35,18035710.71,614941.29,18650652.0,0.6044,11727257.46,0.3801,478541.89,0.0155,,0.0
1.0,121136603.0,Panther Valley SD,Carbon,46801542.68,10027408.99,838983.25,10866392.24,0.2322,13782038.93,0.2945,1081266.26,0.0231,21071845.25,0.4502
1.0,121139004.0,Weatherly Area SD,Carbon,12629861.97,6368493.05,256379.69999999998,6624872.75,0.5245,5803297.88,0.4595,201691.34,0.016,,0.0
1.0,110141003.0,Bald Eagle Area SD,Centre,31489658.47,15148129.12,504867.1,15652996.22,0.4971,15516244.3,0.4927,320355.55,0.0102,62.4,0.0
1.0,110141103.0,Bellefonte Area SD,Centre,57907181.83,30029825.400000006,819109.1499999999,30848934.55,0.5327,16339957.85,0.2822,653289.43,0.0113,10065000.0,0.1738
1.0,110147003.0,Penns Valley Area SD,Centre,27746995.05,15951566.690000001,599719.82,16551286.51,0.5965,10408065.83,0.3751,700694.66,0.0253,86948.05,0.0031
1.0,110148002.0,State College Area SD,Centre,149444211.66,116873863.55000001,2765825.52,119639689.07,0.8006,28210749.0,0.1888,1479344.69,0.0099,114428.9,0.0008
1.0,124150503.0,Avon Grove SD,Chester,85509201.37,53112067.76,1527056.78,54639124.54,0.639,30203440.9,0.3532,638100.4,0.0075,28535.53,0.0003
1.0,124151902.0,Coatesville Area SD,Chester,160977670.63,103139795.05999999,2511504.1799999997,105651299.24,0.6563,50567326.04,0.3141,4759045.35,0.0296,,0.0
1.0,124152003.0,Downingtown Area SD,Chester,221678517.21,163016505.76000002,5086285.529999998,168102791.29,0.7583,50415421.87,0.2274,2973257.26,0.0134,187046.79,0.0008
1.0,124153503.0,Great Valley SD,Chester,94676251.79,78241360.95000002,1588426.49,79829787.44,0.8432,14306073.23,0.1511,539483.62,0.0057,907.5,0.0
1.0,124154003.0,Kennett Consolidated SD,Chester,82126577.45,63146113.160000004,1300737.7399999998,64446850.9,0.7847,16734074.53,0.2038,945652.02,0.0115,,0.0
1.0,124156503.0,Octorara Area SD,Chester,51261523.35,34619754.68,1098298.6700000002,35718053.35,0.6968,14672921.61,0.2862,772230.03,0.0151,98318.36,0.0019
1.0,124156603.0,Owen J Roberts SD,Chester,99815256.89,76018050.83000001,1971625.4799999995,77989676.31,0.7813,20889974.08,0.2093,906601.8,0.0091,29004.7,0.0003
