Cranberry Area SD	Geographic Size of District (Square Miles)	156.63
Crawford Central SD	District Address (City)	Meadville
Crawford Central SD	District Address (Street)	11280 Mercer Pike
Crawford Central SD	District Name	Crawford Central SD
Crawford Central SD	District Zip Code	16335
Crawford Central SD	Geographic Size of District (Square Miles)	158.3
Crestwood SD	District Address (City)	Mountain Top
Crestwood SD	District Address (Street)	281 S Mountain Blvd
Crestwood SD	District Name	Crestwood SD
Crestwood SD	District Zip Code	18707
Crestwood SD	Geographic Size of District (Square Miles)	107.97
Cumberland Valley SD	District Address (City)	Mechanicsburg
Cumberland Valley SD	District Address (Street)	6746 Carlisle Pike
Cumberland Valley SD	District Name	Cumberland Valley SD
Cumberland Valley SD	District Zip Code	17050
Cumberland Valley SD	Geographic Size of District (Square Miles)	102.95
Curwensville Area SD	District Address (City)	Curwensville
Curwensville Area SD	District Address (Street)	650 Beech St
Curwensville Area SD	District Name	Curwensville Area SD
Curwensville Area SD	District Zip Code	16833
Curwensville Area SD	Geographic Size of District (Square Miles)	116.61
Dallas SD	District Address (City)	Dallas
Dallas SD	District Address (Street)	2010 Conyngham Ave
Dallas SD	District Name	Dallas SD
Dallas SD	District Zip Code	18612
Dallas SD	Geographic Size of District (Square Miles)	48.14
Dallastown Area SD	District Address (City)	Dallastown
Dallastown Area SD	District Address (Street)	700 New School Ln
Dallastown Area SD	District Name	Dallastown Area SD
Dallastown Area SD	District Zip Code	17313
Dallastown Area SD	Geographic Size of District (Square Miles)	55.26
Daniel Boone Area SD	District Address (City)	Birdsboro
Daniel Boone Area SD	District Address (Street)	Daniel Boone Area SD Administrative Office
Daniel Boone Area SD	District Name	Daniel Boone Area SD
