DistrictName,SchoolName,EnrollmentNumber,Year
Susquenita School District,Susquenita El Sch,738,2018-2019
Susquenita School District,Susquenita HS,451,2018-2019
Susquenita School District,Susquenita MS,588,2018-2019
Sylvan Heights Science CS,Sylvan Heights Science CS,213,2018-2019
Tacony Academy Charter School,Tacony Academy Charter School,1105,2018-2019
Tamaqua Area School District,Tamaqua Area MS,535,2018-2019
Tamaqua Area School District,Tamaqua Area SHS,658,2018-2019
Tamaqua Area School District,Tamaqua El Sch,633,2018-2019
Tamaqua Area School District,West Penn Twp El Sch,291,2018-2019
TECH Freire CS,TECH Freire CS,490,2018-2019
The New Academy CS,The New Academy CS,124,2018-2019
The Philadelphia CS for Arts and Sciences at HR Edmunds,The Philadelphia CS for Arts and Sciences at HR Edmunds,1005,2018-2019
Tidioute Community CS,Tidioute Community CS,294,2018-2019
Titusville Area School District,Early Childhood Lc,247,2018-2019
Titusville Area School District,Hydetown El Sch,233,2018-2019
Titusville Area School District,Main Street El Sch,252,2018-2019
Titusville Area School District,Pleasantville El Sch,231,2018-2019
Titusville Area School District,Titusville MS,450,2018-2019
Titusville Area School District,Titusville SHS,539,2018-2019
Towanda Area School District,Morrow El Sch,380,2018-2019
Towanda Area School District,Towanda Area El Sch,482,2018-2019
Towanda Area School District,Towanda Area JSHS,684,2018-2019
Tredyffrin-Easttown School District,Beaumont El Sch,475,2018-2019
Tredyffrin-Easttown School District,Conestoga SHS,2219,2018-2019
Tredyffrin-Easttown School District,Devon El Sch,500,2018-2019
Tredyffrin-Easttown School District,Hillside El Sch,473,2018-2019
Tredyffrin-Easttown School District,New Eagle El Sch,486,2018-2019
Tredyffrin-Easttown School District,Tredyffrin-Easttown MS,1134,2018-2019
Tredyffrin-Easttown School District,Valley Forge El Sch,567,2018-2019
Tredyffrin-Easttown School District,Valley Forge MS,1189,2018-2019
Trinity Area School District,Trinity East El Sch,379,2018-2019
Trinity Area School District,Trinity MS,758,2018-2019
Trinity Area School District,Trinity North El Sch,395,2018-2019
Trinity Area School District,Trinity SHS,990,2018-2019
Trinity Area School District,Trinity South El Sch,276,2018-2019
Trinity Area School District,Trinity West El Sch,396,2018-2019
Tri-Valley School District,Hegins-Hubley El Sch,346,2018-2019
Tri-Valley School District,Mahantongo El Sch,169,2018-2019
Tri-Valley School District,Tri-Valley JSHS,388,2018-2019
Troy Area School District,Troy Area JSHS,625,2018-2019
Troy Area School District,Troy Intrmd Sch,446,2018-2019
Troy Area School District,W R Croman Primary Sch,366,2018-2019
Tulpehocken Area School District,Bethel El Sch,362,2018-2019
Tulpehocken Area School District,Penn Bernville El Sch,385,2018-2019
Tulpehocken Area School District,Tulpehocken JSHS,669,2018-2019
Tunkhannock Area School District,Tunkhannock Area Primary Center,459,2018-2019
Tunkhannock Area School District,Tunkhannock HS,944,2018-2019
Tunkhannock Area School District,Tunkhannock STEM Academy,177,2018-2019
Turkeyfoot Valley Area School District,Turkeyfoot Valley Area El Sch,181,2018-2019
Turkeyfoot Valley Area School District,Turkeyfoot Valley Area JSHS,140,2018-2019
Tuscarora School District,James Buchanan HS,679,2018-2019
Tuscarora School District,James Buchanan MS,601,2018-2019
Tuscarora School District,Mercersburg El Sch,257,2018-2019
Tuscarora School District,Montgomery El Sch,233,2018-2019
Tuscarora School District,Mountain View El Sch,261,2018-2019
Tuscarora School District,St Thomas El Sch,326,2018-2019
Tussey Mountain School District,Tussey Mountain EL,347,2018-2019
Tussey Mountain School District,Tussey Mountain HS,262,2018-2019
Tussey Mountain School District,Tussey Mountain MS,282,2018-2019
Twin Valley School District,Honey Brook El Ctr,380,2018-2019
Twin Valley School District,Robeson El Ctr,381,2018-2019
Twin Valley School District,Twin Valley El Ctr,350,2018-2019
Twin Valley School District,Twin Valley HS,1091,2018-2019
Twin Valley School District,Twin Valley MS,1027,2018-2019
Tyrone Area School District,Tyrone Area El Sch,807,2018-2019
Tyrone Area School District,Tyrone Area HS,538,2018-2019
Tyrone Area School District,Tyrone Area MS,539,2018-2019
Union Area School District,Union Area HS,203,2018-2019
Union Area School District,Union Area MS,162,2018-2019
Union Area School District,Union Memorial El Sch,361,2018-2019
Union City Area School District,Union City El Sch,489,2018-2019
Union City Area School District,Union City HS,352,2018-2019
Union City Area School District,Union City MS,256,2018-2019
Union School District,Rimersburg El Sch,169,2018-2019
Union School District,Sligo El Sch,139,2018-2019
Union School District,Union HS,236,2018-2019
Uniontown Area School District,A J McMullen Sch,136,2018-2019
Uniontown Area School District,Ben Franklin Sch,518,2018-2019
Uniontown Area School District,Franklin Sch,147,2018-2019
Uniontown Area School District,Lafayette El Sch,296,2018-2019
Uniontown Area School District,Lafayette MS,165,2018-2019
Uniontown Area School District,Marclay Sch,132,2018-2019
Uniontown Area School District,Menallen Sch,317,2018-2019
Uniontown Area School District,Uniontown Area SHS,793,2018-2019
Uniontown Area School District,Wharton Sch,178,2018-2019
Unionville-Chadds Ford School District,Chadds Ford El Sch,349,2018-2019
Unionville-Chadds Ford School District,Charles F Patton MS,968,2018-2019
Unionville-Chadds Ford School District,Hillendale El Sch,349,2018-2019
Unionville-Chadds Ford School District,Pocopson El Sch,574,2018-2019
Unionville-Chadds Ford School District,Unionville El Sch,351,2018-2019
Unionville-Chadds Ford School District,Unionville HS,1363,2018-2019
United School District,United El Sch,527,2018-2019
United School District,United JSHS,492,2018-2019
Universal Alcorn CS,Universal Alcorn CS,630,2018-2019
Universal Audenried Charter School,Universal Audenried Charter School,518,2018-2019
Universal Bluford Charter School,Universal Bluford Charter School,532,2018-2019
Universal Creighton Charter School,Universal Creighton Charter School,776,2018-2019
Universal Daroff Charter School,Universal Daroff Charter School,727,2018-2019
Universal Institute CS,Universal Institute CS,650,2018-2019
Universal Vare Charter School ,Universal Vare Charter School,352,2018-2019
Upper Adams School District,Arendtsville El Sch,190,2018-2019
Upper Adams School District,Bendersville El Sch,184,2018-2019
Upper Adams School District,Biglerville El Sch,496,2018-2019
Upper Adams School District,Biglerville HS,544,2018-2019
Upper Adams School District,Upper Adams MS,256,2018-2019
Upper Bucks County Technical School,Upper Bucks County Technical School,723,2018-2019
Upper Darby School District,Aronimink El Sch,258,2018-2019
Upper Darby School District,Beverly Hills MS,1451,2018-2019
Upper Darby School District,Bywood El Sch,709,2018-2019
Upper Darby School District,Charles Kelly El Sch,341,2018-2019
Upper Darby School District,Drexel Hill MS,1378,2018-2019
Upper Darby School District,Garrettford El Sch,594,2018-2019
Upper Darby School District,Highland Park El Sch,790,2018-2019
Upper Darby School District,Hillcrest El Sch,683,2018-2019
Upper Darby School District,Primos El Sch,509,2018-2019
Upper Darby School District,Stonehurst Hills El Sch,516,2018-2019
Upper Darby School District,Upper Darby Kdg Ctr,603,2018-2019
Upper Darby School District,Upper Darby SHS,3819,2018-2019
Upper Darby School District,Walter M Senkow El Sch,280,2018-2019
Upper Darby School District,Westbrook Park El Sch,508,2018-2019
Upper Dauphin Area School District,Upper Dauphin Area El Sch,394,2018-2019
Upper Dauphin Area School District,Upper Dauphin Area HS,363,2018-2019
